id;valid_days;wear_time;total_counts_axis1;total_counts_vm;axis1_per_min;vm_per_min;minutes_SED;minutes_LPA;minutes_MPA;minutes_VPA;minutes_MVPA;percent_SED;percent_LPA;percent_MPA;percent_VPA;percent_MVPA;ratio_mvpa_sed;mets_hours_mvpa;total_kcal;pal;total_steps;max_steps_60min;max_steps_30min;max_steps_20min;max_steps_5min;max_steps_1min;peak_steps_60min;peak_steps_30min;peak_steps_20min;peak_steps_5min;peak_steps_1min;ig;M1/3;M120;M60;M30;M15;M5;mean_breaks;alpha;MBD;UBD;gini
74;2;706,50;325803,50;925708,58;465,58;1325,97;223,00;403,00;80,50;0;80,50;31,05;57,31;11,63;0;11,63;0,42;0;NA;NA;10127,50;36,72;57,03;66,00;81,70;113,50;70,39;81,37;86,75;103,60;113,50;-1,29;191,68;2838,35;3735,76;4675,04;5114,16;5114,16;59,50;2,40;2,0;7,12;0,59
75;3;752,33;324616,33;831864,84;431,34;1107,79;179,67;529,00;43,67;0;43,67;23,82;70,38;5,80;0;5,80;0,25;0;NA;NA;7974,67;25,58;37,89;44,70;90,13;120,67;59,08;75,20;84,58;112,53;120,67;-1,73;369,15;2199,75;3052,64;3931,37;5055,96;5055,96;69,33;2,76;1,0;3,43;0,47
76;3;760,00;273765,67;713370,64;359,37;940,64;289,33;429,67;41,00;0;41,00;37,95;56,62;5,42;0;5,42;0,15;0;NA;NA;6660,67;22,82;31,90;39,82;79,87;96,00;53,46;65,55;72,30;91,13;96,00;-1,82;174,99;2118,59;2995,56;3731,08;4386,72;4386,72;74,33;2,17;2,0;6,63;0,54
77;3;753,33;508283,00;1207638,02;666,49;1592,89;152,00;500,33;101,00;0;101,00;20,08;66,70;13,22;0;13,22;0,66;0;NA;NA;9801,00;35,64;47,37;55,92;82,80;110,00;61,57;73,87;80,52;98,53;110,00;-1,54;626,10;3136,43;4127,57;5257,84;6165,95;6165,95;46,33;2,65;1,0;5,89;0,58
79;1;657,00;235833,00;645796,05;358,95;982,95;184,00;434,00;39,00;0;39,00;28,01;66,06;5,94;0;5,94;0,21;0;NA;NA;4833,00;22,27;38,87;42,85;63,20;133,00;44,17;56,53;64,15;94,80;133,00;-1,72;154,84;1788,35;2785,47;3717,44;4683,08;4683,08;65,00;2,70;1,0;3,87;0,51
84;4;758,75;527843,00;1114119,88;697,22;1471,57;181,00;492,25;85,50;0;85,50;23,65;65,12;11,22;0;11,22;0,56;0;NA;NA;10863,00;48,30;64,07;75,19;113,85;127,50;80,06;96,16;105,56;121,70;127,50;-1,53;399,84;2938,59;3912,30;4917,02;8082,93;8082,93;67,25;2,74;1,0;3,60;0,49
85;4;798,75;262732,75;592326,92;329,10;737,07;424,00;340,00;34,75;0;34,75;53,87;41,82;4,31;0;4,31;0,09;0;NA;NA;8671,50;46,23;62,18;72,42;102,20;132,50;72,07;88,52;97,65;118,40;132,50;-1,67;87,91;1825,95;2711,65;3533,98;4328,89;4328,89;73,50;1,88;3,0;11,02;0,58
86;4;780,25;498073,50;1189909,97;644,69;1546,64;199,00;477,00;104,25;0;104,25;24,95;61,42;13,62;0;13,62;0,72;0;NA;NA;11939,00;50,38;65,45;75,46;111,80;143,75;75,70;92,11;102,38;126,40;143,75;-1,45;496,21;3235,68;4235,67;5095,06;6309,99;6309,99;69,50;2,72;1,0;4,34;0,52
89;3;691,33;600888,00;1186246,94;869,02;1714,07;184,00;397,00;110,33;0;110,33;26,86;57,13;16,01;0;16,01;0,64;0;NA;NA;16376,33;65,46;87,07;107,55;129,60;149,33;102,42;116,22;124,03;137,87;149,33;-1,31;356,03;3244,48;4586,87;6247,80;7177,96;7177,96;49,67;2,24;2,0;6,31;0,54
91;4;711,50;426058,25;916187,30;590,14;1274,95;221,75;418,75;71,00;0;71,00;31,66;58,51;9,83;0;9,83;0,35;0;NA;NA;11378,25;55,20;72,62;90,74;123,45;143,50;94,29;112,34;120,56;136,35;143,50;-1,60;254,46;2528,32;3813,66;4968,92;6165,30;6165,30;61,25;2,48;1,0;7,75;0,59
95;4;772,75;366214,25;970949,22;469,94;1247,98;181,25;534,75;56,75;0;56,75;23,29;69,45;7,26;0;7,26;0,43;0;NA;NA;8803,75;34,31;45,87;55,90;92,15;126,00;66,46;81,57;90,05;113,65;126,00;-1,71;516,28;2543,04;3255,56;4136,57;5220,48;5220,48;60,00;2,68;1,0;4,60;0,54
98;4;764,50;260420,00;743798,13;336,61;964,68;233,75;505,25;25,50;0;25,50;30,68;66,09;3,22;0;3,22;0,11;0;NA;NA;8469,25;40,21;52,25;59,23;92,45;133,00;63,84;79,45;88,84;117,20;133,00;-1,84;317,58;1982,08;2638,44;3290,07;4021,44;4021,44;73,50;2,45;2,0;4,75;0,52
